,log_spy_change,22_IV_AVG,5_IV_AVG,1_IV_AVG,jobless_claims,day_of_week,day_of_month,SPY_VOL,VIX_level,60_VIX_AVG
2020-12-15,0.01342884872146106,0.21891861652247,0.21590557121811002,0.213740595756357,886000.0,1.0,15.0,63865300.0,22.89,26.307000000000002
2021-01-11,-0.006763649600405825,0.2196585202660294,0.21496150811285494,0.22130115593051086,890000.0,0.0,11.0,51034700.0,24.08,25.274166666666666
2021-01-12,0.0002111979543413105,0.22014394677511714,0.21713642585368778,0.2250921543420822,890000.0,1.0,12.0,52547700.0,23.33,25.2135
2021-01-13,0.0026893604130916867,0.22046791591881723,0.2176020849661567,0.2194386215108837,890000.0,2.0,13.0,45303600.0,22.21,25.126833333333334
2021-01-14,-0.0035081288863580964,0.2206881966444497,0.22029776946394067,0.2219163197798695,890000.0,3.0,14.0,49989100.0,23.25,25.028000000000002
2021-01-15,-0.00731937867501887,0.22190422087386671,0.2242954220636481,0.23372885875489438,890000.0,4.0,15.0,107160000.0,24.34,24.944499999999998
2021-01-19,0.007821295193762935,0.22179993626562008,0.225319220849476,0.22642014985965025,844000.0,1.0,19.0,51233300.0,23.24,24.854333333333333
2021-01-20,0.013743812576996675,0.22175333657689847,0.22453336690155612,0.22116288460248282,844000.0,2.0,20.0,61836100.0,21.58,24.7455
2021-01-21,0.0009112390401073714,0.22140858078443418,0.22461046559178724,0.2198241149620392,844000.0,3.0,21.0,47840100.0,21.32,24.641666666666666
2021-01-22,-0.003545694112182875,0.22160101439070526,0.22506195299584691,0.2241737568001679,844000.0,4.0,22.0,52860500.0,21.91,24.46583333333333
2021-01-25,0.003936063993476174,0.22124688651455962,0.22285206007750138,0.22267939416316668,799000.0,0.0,25.0,70402000.0,23.19,24.296499999999998
2021-01-26,-0.0015621497650837484,0.2215578111571972,0.22217804592859042,0.22305007911509556,799000.0,1.0,26.0,42665300.0,23.02,24.00883333333333
2021-01-27,-0.024744087115445432,0.22455685644493678,0.23358867644399467,0.278216037179504,799000.0,2.0,27.0,123351100.0,37.21,24.002499999999998
2021-01-28,0.008563429176512526,0.22554794173461437,0.2398280607261094,0.25102103637261286,799000.0,3.0,28.0,94198100.0,30.21,23.872333333333334
2021-01-29,-0.020222697659662954,0.2281287682245339,0.24912988970866784,0.2706829017129601,799000.0,4.0,29.0,126765100.0,33.09,23.805
2021-02-01,0.01650849189272055,0.22938126557973676,0.25651078773867847,0.25958388431322005,803000.0,0.0,1.0,75817600.0,30.24,23.7165
2021-02-02,0.014041184543477813,0.2297587508688452,0.2590760163542565,0.23587622219298546,803000.0,1.0,2.0,64450700.0,25.56,23.64966666666667
2021-02-03,0.0007860047623895214,0.23017212641227347,0.24945107959582374,0.23009135338734027,803000.0,2.0,3.0,52427100.0,22.91,23.571833333333334
2021-02-04,0.011301604471081304,0.2297292100724535,0.2425023347174508,0.21627731198074815,803000.0,3.0,4.0,47142600.0,21.77,23.520333333333333
2021-02-05,0.003928132751593947,0.2300165979523376,0.23247377417393217,0.22054009899536695,803000.0,4.0,5.0,48669800.0,20.87,23.439000000000004
2021-02-09,-0.0006660433584758331,0.23013112570546354,0.2244829846147503,0.21962993651731064,812000.0,1.0,9.0,35551100.0,21.63,23.349333333333334
2021-02-10,-0.0004357464291324202,0.23068810460119413,0.22144602677555764,0.22069143299702218,812000.0,2.0,10.0,59154400.0,21.99,23.293333333333333
2021-02-11,0.0016137608178228677,0.23125100793339728,0.22065264991105488,0.22612446906482633,812000.0,3.0,11.0,42913300.0,21.25,23.2625
2021-02-12,0.004927625941248016,0.231018355676727,0.22063374877165803,0.2161828062837641,812000.0,4.0,12.0,50593300.0,19.97,23.221166666666665
2021-02-16,-0.000866377098808637,0.23109498349179225,0.22188132222728835,0.2267779662735186,802000.0,1.0,16.0,50972400.0,21.46,23.200333333333333
2021-02-17,0.00022945876728606898,0.23141578359860848,0.22325457969599433,0.2264962238608406,802000.0,2.0,17.0,52290600.0,21.5,23.161333333333335
